date, pm10
2022/11/9, 
2022/11/10, 
2022/11/11, 
2022/11/12, 
2022/11/13, 
2022/11/14, 
2022/11/15, 
2022/11/16, 
2022/11/17, 
2022/11/18, 
2022/11/19, 
2022/11/20, 
2022/11/21, 
2022/11/22, 
2022/11/23, 
2022/11/24, 
2022/11/25, 
2022/11/26, 
2022/11/27, 
2022/11/28, 
2022/11/29, 
2022/11/30, 
2022/12/1, 
2022/12/2, 
2022/12/3, 
2022/12/4, 
2022/12/5, 
2022/12/6, 
2022/12/7, 
2022/12/8, 
2022/12/9, 
2022/12/10, 
2022/12/11, 
2022/12/12, 12
2022/12/13, 
2022/12/14, 
2022/12/15, 
2022/12/16, 
2022/12/17, 
2022/12/18, 
2022/12/19, 
2022/12/20, 
2022/12/21, 
2022/12/22, 
2022/12/23, 
2022/12/24, 
2022/12/25, 
2022/12/26, 
2022/12/27, 
2022/12/28, 
2022/12/29, 
2022/12/30, 
2022/12/31, 
2023/1/1, 
2022/7/1, 
2022/7/2, 
2022/7/3, 
2022/7/4, 
2022/7/5, 
2022/7/6, 
2022/7/7, 
2022/7/8, 
2022/7/9, 
2022/7/10, 
2022/7/11, 
2022/7/12, 
2022/7/13, 
2022/7/14, 44
2022/7/15, 
2022/7/16, 
2022/7/17, 
2022/7/18, 
2022/7/19, 
2022/7/20, 58
2022/7/21, 56
2022/7/22, 49
2022/7/23, 
2022/7/24, 41
2022/7/25, 52
2022/7/26, 62
2022/7/27, 71
2022/7/28, 38
2022/7/29, 
2022/7/30, 
2022/7/31, 
2022/8/1, 
2022/8/2, 
2022/8/3, 
2022/8/4, 
2022/8/5, 
2022/8/6, 
2022/8/7, 
2022/8/8, 
2022/8/9, 
2022/8/10, 
2022/8/11, 
2022/8/12, 
2022/8/13, 
2022/8/14, 
2022/8/15, 
2022/8/16, 
2022/8/17, 
2022/8/18, 
2022/8/19, 
2022/8/20, 
2022/8/21, 
2022/8/22, 
2022/8/23, 
2022/8/24, 
2022/8/25, 
2022/8/26, 
2022/8/27, 
2022/8/28, 
2022/8/29, 
2022/8/30, 
2022/8/31, 
2022/9/1, 
2022/9/2, 
2022/9/3, 
2022/9/4, 
2022/9/5, 
2022/9/6, 
2022/9/7, 
2022/9/8, 
2022/9/9, 
2022/9/10, 
2022/9/11, 
2022/9/12, 
2022/9/13, 
2022/9/14, 
2022/9/15, 
2022/9/16, 
2022/9/17, 
2022/9/18, 
2022/9/19, 
2022/9/20, 
2022/9/21, 
2022/9/22, 
2022/9/23, 
2022/9/24, 
2022/9/25, 
2022/9/26, 
2022/9/27, 
2022/9/28, 
2022/9/29, 
2022/9/30, 
2022/4/1, 33
2022/4/2, 17
2022/4/3, 39
2022/4/4, 52
2022/4/5, 38
2022/4/6, 43
2022/4/7, 27
2022/4/8, 43
2022/4/9, 52
2022/4/10, 44
2022/4/11, 60
2022/4/12, 71
2022/4/13, 41
2022/4/14, 51
2022/4/15, 48
2022/4/16, 56
2022/4/17, 37
2022/4/18, 44
2022/4/19, 38
2022/4/20, 31
2022/4/21, 64
2022/4/22, 46
2022/4/23, 41
2022/4/24, 49
2022/4/25, 33
2022/4/26, 24
2022/4/27, 20
2022/4/28, 
2022/4/29, 
2022/4/30, 
2022/5/1, 
2022/5/2, 
2022/5/3, 
2022/5/4, 
2022/5/5, 
2022/5/6, 
2022/5/7, 
2022/5/8, 
2022/5/9, 
2022/5/10, 
2022/5/11, 34
2022/5/12, 29
2022/5/13, 49
2022/5/14, 50
2022/5/15, 44
2022/5/16, 33
2022/5/17, 
2022/5/18, 
2022/5/19, 20
2022/5/20, 44
2022/5/21, 
2022/5/22, 
2022/5/23, 
2022/5/24, 
2022/5/25, 
2022/5/26, 
2022/5/27, 
2022/5/28, 
2022/5/29, 
2022/5/30, 25
2022/5/31, 23
2022/6/1, 38
2022/6/2, 32
2022/6/3, 
2022/6/4, 
2022/6/5, 
2022/6/6, 50
2022/6/7, 39
2022/6/8, 36
2022/6/9, 51
2022/6/10, 
2022/6/11, 
2022/6/12, 
2022/6/13, 
2022/6/14, 
2022/6/15, 76
2022/6/16, 
2022/6/17, 
2022/6/18, 
2022/6/19, 
2022/6/20, 64
2022/6/21, 
2022/6/22, 67
2022/6/23, 
2022/6/24, 
2022/6/25, 
2022/6/26, 50
2022/6/27, 
2022/6/30, 
2022/1/3, 39
2022/1/4, 68
2022/1/5, 52
2022/1/6, 34
2022/1/7, 72
2022/1/8, 192
2022/1/9, 26
2022/1/10, 22
2022/1/11, 27
2022/1/12, 
2022/1/13, 
2022/1/14, 32
2022/1/15, 44
2022/1/16, 250
2022/1/17, 
2022/1/18, 
2022/1/19, 
2022/1/20, 
2022/1/21, 
2022/1/22, 
2022/1/23, 
2022/1/24, 
2022/1/25, 
2022/1/26, 
2022/1/27, 
2022/1/28, 
2022/1/29, 
2022/1/30, 
2022/1/31, 
2022/2/1, 
2022/2/2, 
2022/2/3, 
2022/2/4, 
2022/2/5, 
2022/2/6, 
2022/2/7, 
2022/2/8, 
2022/2/9, 
2022/2/10, 
2022/2/11, 
2022/2/12, 
2022/2/13, 
2022/2/14, 
2022/2/22, 
2022/2/23, 
2022/2/24, 19
2022/2/25, 21
2022/2/26, 14
2022/2/27, 22
2022/2/28, 19
2022/3/1, 28
2022/3/2, 19
2022/3/3, 21
2022/3/4, 24
2022/3/5, 21
2022/3/6, 18
2022/3/7, 27
2022/3/8, 
2022/3/9, 
2022/3/10, 60
2022/3/11, 
2022/3/12, 
2022/3/13, 
2022/3/14, 
2022/3/15, 
2022/3/16, 
2022/3/17, 34
2022/3/18, 21
2022/3/19, 
2022/3/20, 
2022/3/21, 
2022/3/22, 
2022/3/23, 
2022/3/24, 61
2022/3/25, 54
2022/3/26, 52
2022/3/27, 27
2022/3/28, 46
2022/3/29, 
2022/3/30, 37
2022/3/31, 62
2021/10/1, 72
2021/10/2, 
2021/10/3, 
2021/10/4, 
2021/10/5, 45
2021/10/6, 37
2021/10/7, 45
2021/10/8, 42
2021/10/9, 50
2021/10/10, 50
2021/10/11, 47
2021/10/12, 48
2021/10/13, 62
2021/10/14, 72
2021/10/15, 
2021/10/16, 
2021/10/17, 22
2021/10/18, 37
2021/10/19, 
2021/10/20, 
2021/10/21, 70
2021/10/22, 
2021/10/23, 55
2021/10/24, 
2021/10/25, 51
2021/10/26, 34
2021/10/27, 50
2021/11/3, 46
2021/11/4, 39
2021/11/5, 32
2021/11/6, 28
2021/11/7, 42
2021/11/8, 35
2021/11/9, 22
2021/11/10, 
2021/11/11, 10
2021/11/12, 50
2021/11/13, 25
2021/11/14, 25
2021/11/15, 17
2021/11/16, 4
2021/11/17, 4
2021/11/18, 5
2021/11/19, 28
