date, pm25
2023/11/1, 128
2023/11/2, 135
2023/11/3, 135
2023/11/4, 129
2023/11/5, 92
2023/11/6, 108
2023/11/7, 111
2023/11/8, 124
2023/11/9, 136
2023/11/10, 134
2023/11/11, 131
2023/11/12, 110
2023/11/13, 90
2023/11/14, 89
2023/11/15, 57
2023/11/16, 27
2023/10/1, 140
2023/10/2, 142
2023/10/3, 104
2023/10/4, 125
2023/10/5, 117
2023/10/6, 129
2023/10/7, 147
2023/10/8, 124
2023/10/9, 109
2023/10/10, 113
2023/10/11, 106
2023/10/12, 131
2023/10/13, 137
2023/10/14, 122
2023/10/15, 108
2023/10/16, 128
2023/10/17, 114
2023/10/18, 140
2023/10/19, 111
2023/10/20, 118
2023/10/21, 117
2023/10/22, 121
2023/10/23, 119
2023/10/24, 132
2023/10/25, 129
2023/10/26, 150
2023/10/27, 138
2023/10/28, 139
2023/10/29, 139
2023/10/30, 125
2023/10/31, 136
2023/7/1, 136
2023/7/2, 108
2023/7/3, 127
2023/7/4, 109
2023/7/5, 141
2023/7/6, 143
2023/7/7, 126
2023/7/8, 101
2023/7/9, 95
2023/7/10, 94
2023/7/11, 100
2023/7/12, 150
2023/7/13, 138
2023/7/14, 125
2023/7/15, 101
2023/7/16, 112
2023/7/17, 101
2023/7/24, 113
2023/7/25, 154
2023/7/26, 123
2023/7/27, 152
2023/7/28, 134
2023/7/29, 134
2023/7/30, 131
2023/7/31, 117
2023/8/1, 106
2023/8/2, 115
2023/8/3, 133
2023/8/4, 123
2023/8/5, 109
2023/8/6, 138
2023/8/7, 144
2023/8/8, 123
2023/8/9, 115
2023/8/10, 128
2023/8/11, 136
2023/8/12, 121
2023/8/13, 113
2023/8/14, 122
2023/8/15, 132
2023/8/16, 132
2023/8/17, 103
2023/8/18, 94
2023/8/19, 108
2023/8/20, 115
2023/8/21, 117
2023/8/22, 131
2023/8/23, 135
2023/8/24, 121
2023/8/25, 126
2023/8/26, 103
2023/8/27, 131
2023/8/28, 117
2023/8/29, 130
2023/8/30, 128
2023/8/31, 144
2023/9/1, 146
2023/9/2, 137
2023/9/3, 128
2023/9/4, 111
2023/9/5, 124
2023/9/6, 123
2023/9/7, 125
2023/9/8, 130
2023/9/9, 120
2023/9/10, 117
2023/9/11, 120
2023/9/12, 102
2023/9/13, 120
2023/9/14, 105
2023/9/15, 120
2023/9/16, 126
2023/9/17, 110
2023/9/18, 117
2023/9/19, 125
2023/9/20, 121
2023/9/21, 130
2023/9/22, 120
2023/9/23, 101
2023/9/24, 123
2023/9/25, 128
2023/9/26, 102
